date,Region,iva_corrected,predicted
2020-03-22,Region Skåne,7.0,
2020-03-22,Region Stockholm,42.0,
2020-03-22,Region Sörmland,9.0,
2020-03-22,Region Uppsala,3.0,
2020-03-22,Region Värmland,2.0,
2020-03-22,Region Västerbotten,3.0,
2020-03-22,Region Västernorrland,1.0,
2020-03-22,Region Västmanland,0.0,
2020-03-22,Region Örebro län,3.0,
2020-03-22,Region Östergötland,8.0,
2020-03-22,Västra Götalandsregionen,13.0,
2020-03-23,Region Blekinge,0.0,
2020-03-23,Region Dalarna,3.0,
2020-03-23,Region Gotland,0.0,
2020-03-23,Region Gävleborg,2.0,
2020-03-23,Region Halland,3.0,
2020-03-23,Region Jämtland Härjedalen,0.0,
2020-03-23,Region Jönköpings län,3.0,
2020-03-23,Region Kalmar län,0.0,
2020-03-23,Region Kronoberg,0.0,
2020-03-23,Region Norrbotten,3.0,
2020-03-23,Region Skåne,8.0,
2020-03-23,Region Stockholm,61.0,
2020-03-23,Region Sörmland,11.0,
2020-03-23,Region Uppsala,4.0,
2020-03-23,Region Värmland,3.0,
2020-03-23,Region Västerbotten,3.0,
2020-03-23,Region Västernorrland,1.0,
2020-03-23,Region Västmanland,0.0,
2020-03-23,Region Örebro län,3.0,
2020-03-23,Region Östergötland,11.0,
2020-03-23,Västra Götalandsregionen,17.0,
2020-03-24,Region Blekinge,0.0,
2020-03-24,Region Dalarna,5.0,
2020-03-24,Region Gotland,0.0,
2020-03-24,Region Gävleborg,3.0,
2020-03-24,Region Halland,3.0,
2020-03-24,Region Jämtland Härjedalen,0.0,
2020-03-24,Region Jönköpings län,4.0,
2020-03-24,Region Kalmar län,0.0,
2020-03-24,Region Kronoberg,0.0,
2020-03-24,Region Norrbotten,5.0,
2020-03-24,Region Skåne,6.0,
2020-03-24,Region Stockholm,72.0,
2020-03-24,Region Sörmland,17.0,
2020-03-24,Region Uppsala,5.0,
2020-03-24,Region Värmland,3.0,
2020-03-24,Region Västerbotten,3.0,
2020-03-24,Region Västernorrland,2.0,
2020-03-24,Region Västmanland,1.0,
2020-03-24,Region Örebro län,4.0,
2020-03-24,Region Östergötland,14.0,
2020-03-24,Västra Götalandsregionen,18.0,
2020-03-25,Region Blekinge,0.0,
2020-03-25,Region Dalarna,7.0,
2020-03-25,Region Gotland,0.0,
2020-03-25,Region Gävleborg,3.0,
2020-03-25,Region Halland,4.0,
2020-03-25,Region Jämtland Härjedalen,0.0,
2020-03-25,Region Jönköpings län,5.0,
2020-03-25,Region Kalmar län,0.0,
2020-03-25,Region Kronoberg,0.0,
2020-03-25,Region Norrbotten,5.0,
2020-03-25,Region Skåne,5.0,
2020-03-25,Region Stockholm,80.0,
2020-03-25,Region Sörmland,18.0,
2020-03-25,Region Uppsala,7.0,
2020-03-25,Region Värmland,3.0,
2020-03-25,Region Västerbotten,3.0,
2020-03-25,Region Västernorrland,2.0,
2020-03-25,Region Västmanland,3.0,
2020-03-25,Region Örebro län,6.0,
2020-03-25,Region Östergötland,19.0,
2020-03-25,Västra Götalandsregionen,19.0,
2020-03-26,Region Blekinge,0.0,
2020-03-26,Region Dalarna,8.0,
2020-03-26,Region Gotland,0.0,
2020-03-26,Region Gävleborg,4.0,
2020-03-26,Region Halland,5.0,
2020-03-26,Region Jämtland Härjedalen,0.0,
2020-03-26,Region Jönköpings län,7.0,
2020-03-26,Region Kalmar län,1.0,
2020-03-26,Region Kronoberg,0.0,
2020-03-26,Region Norrbotten,7.0,
2020-03-26,Region Skåne,5.0,
2020-03-26,Region Stockholm,94.0,
2020-03-26,Region Sörmland,20.0,
2020-03-26,Region Uppsala,8.0,
2020-03-26,Region Värmland,3.0,
2020-03-26,Region Västerbotten,4.0,
2020-03-26,Region Västernorrland,2.0,
2020-03-26,Region Västmanland,5.0,
2020-03-26,Region Örebro län,7.0,
2020-03-26,Region Östergötland,20.0,
2020-03-26,Västra Götalandsregionen,23.0,
2020-03-27,Region Blekinge,0.0,
2020-03-27,Region Dalarna,8.0,
2020-03-27,Region Gotland,0.0,
2020-03-27,Region Gävleborg,4.0,
2020-03-27,Region Halland,6.0,
2020-03-27,Region Jämtland Härjedalen,1.0,
2020-03-27,Region Jönköpings län,8.0,
2020-03-27,Region Kalmar län,1.0,
2020-03-27,Region Kronoberg,0.0,
2020-03-27,Region Norrbotten,7.0,
2020-03-27,Region Skåne,8.0,
2020-03-27,Region Stockholm,104.0,
2020-03-27,Region Sörmland,22.0,
2020-03-27,Region Uppsala,8.0,
2020-03-27,Region Värmland,2.0,
2020-03-27,Region Västerbotten,5.0,
2020-03-27,Region Västernorrland,2.0,
2020-03-27,Region Västmanland,7.0,
2020-03-27,Region Örebro län,7.0,
2020-03-27,Region Östergötland,22.0,
2020-03-27,Västra Götalandsregionen,24.0,
2020-03-28,Region Blekinge,1.0,
2020-03-28,Region Dalarna,7.0,
2020-03-28,Region Gotland,0.0,
2020-03-28,Region Gävleborg,4.0,
2020-03-28,Region Halland,7.0,
2020-03-28,Region Jämtland Härjedalen,1.0,
2020-03-28,Region Jönköpings län,8.0,
2020-03-28,Region Kalmar län,1.0,
2020-03-28,Region Kronoberg,0.0,
2020-03-28,Region Norrbotten,7.0,
2020-03-28,Region Skåne,9.0,
2020-03-28,Region Stockholm,110.0,
2020-03-28,Region Sörmland,25.0,
2020-03-28,Region Uppsala,7.0,
2020-03-28,Region Värmland,2.0,
2020-03-28,Region Västerbotten,4.0,
2020-03-28,Region Västernorrland,2.0,
2020-03-28,Region Västmanland,9.0,
2020-03-28,Region Örebro län,7.0,
2020-03-28,Region Östergötland,23.0,
2020-03-28,Västra Götalandsregionen,25.0,
2020-03-29,Region Blekinge,1.0,
2020-03-29,Region Dalarna,7.0,
2020-03-29,Region Gotland,0.0,
2020-03-29,Region Gävleborg,6.0,
2020-03-29,Region Halland,7.0,
2020-03-29,Region Jämtland Härjedalen,1.0,
2020-03-29,Region Jönköpings län,9.0,
2020-03-29,Region Kalmar län,1.0,
2020-03-29,Region Kronoberg,0.0,
2020-03-29,Region Norrbotten,8.0,
2020-03-29,Region Skåne,8.0,
2020-03-29,Region Stockholm,121.0,
2020-03-29,Region Sörmland,28.0,
2020-03-29,Region Uppsala,9.0,
2020-03-29,Region Värmland,2.0,
2020-03-29,Region Västerbotten,4.0,
2020-03-29,Region Västernorrland,3.0,
2020-03-29,Region Västmanland,10.0,
2020-03-29,Region Örebro län,9.0,
2020-03-29,Region Östergötland,24.0,
2020-03-29,Västra Götalandsregionen,29.0,
2020-03-30,Region Blekinge,1.0,
2020-03-30,Region Dalarna,8.0,
2020-03-30,Region Gotland,0.0,
2020-03-30,Region Gävleborg,8.0,
2020-03-30,Region Halland,7.0,
2020-03-30,Region Jämtland Härjedalen,1.0,
2020-03-30,Region Jönköpings län,10.0,
2020-03-30,Region Kalmar län,1.0,
2020-03-30,Region Kronoberg,0.0,
2020-03-30,Region Norrbotten,7.0,
2020-03-30,Region Skåne,6.0,
2020-03-30,Region Stockholm,127.0,
2020-03-30,Region Sörmland,29.0,
2020-03-30,Region Uppsala,12.0,
2020-03-30,Region Värmland,2.0,
2020-03-30,Region Västerbotten,4.0,
2020-03-30,Region Västernorrland,3.0,
2020-03-30,Region Västmanland,10.0,
2020-03-30,Region Örebro län,7.0,
2020-03-30,Region Östergötland,23.0,
2020-03-30,Västra Götalandsregionen,31.0,
2020-03-31,Region Blekinge,1.0,
2020-03-31,Region Dalarna,7.0,
2020-03-31,Region Gotland,0.0,
2020-03-31,Region Gävleborg,8.0,
2020-03-31,Region Halland,7.0,
2020-03-31,Region Jämtland Härjedalen,1.0,
2020-03-31,Region Jönköpings län,10.0,
2020-03-31,Region Kalmar län,2.0,
2020-03-31,Region Kronoberg,0.0,
2020-03-31,Region Norrbotten,7.0,
2020-03-31,Region Skåne,8.0,
2020-03-31,Region Stockholm,138.0,
2020-03-31,Region Sörmland,30.0,
2020-03-31,Region Uppsala,13.0,
2020-03-31,Region Värmland,2.0,
2020-03-31,Region Västerbotten,3.0,
2020-03-31,Region Västernorrland,3.0,
2020-03-31,Region Västmanland,10.0,
2020-03-31,Region Örebro län,7.0,
2020-03-31,Region Östergötland,23.0,
2020-03-31,Västra Götalandsregionen,32.0,
2020-04-01,Region Blekinge,1.0,
2020-04-01,Region Dalarna,8.0,
2020-04-01,Region Gotland,0.0,
2020-04-01,Region Gävleborg,10.0,
2020-04-01,Region Halland,6.0,
2020-04-01,Region Jämtland Härjedalen,1.0,
2020-04-01,Region Jönköpings län,12.0,
2020-04-01,Region Kalmar län,2.0,
2020-04-01,Region Kronoberg,0.0,
2020-04-01,Region Norrbotten,6.0,
2020-04-01,Region Skåne,10.0,
2020-04-01,Region Stockholm,146.0,
2020-04-01,Region Sörmland,30.0,
2020-04-01,Region Uppsala,13.0,
2020-04-01,Region Värmland,1.0,
2020-04-01,Region Västerbotten,3.0,
2020-04-01,Region Västernorrland,3.0,
2020-04-01,Region Västmanland,12.0,
2020-04-01,Region Örebro län,7.0,
2020-04-01,Region Östergötland,20.0,
2020-04-01,Västra Götalandsregionen,35.0,
2020-04-02,Region Blekinge,2.0,
2020-04-02,Region Dalarna,8.0,
2020-04-02,Region Gotland,1.0,
2020-04-02,Region Gävleborg,10.0,
2020-04-02,Region Halland,7.0,
2020-04-02,Region Jämtland Härjedalen,1.0,
2020-04-02,Region Jönköpings län,12.0,
2020-04-02,Region Kalmar län,4.0,
2020-04-02,Region Kronoberg,0.0,
2020-04-02,Region Norrbotten,7.0,
2020-04-02,Region Skåne,10.0,
2020-04-02,Region Stockholm,146.0,
2020-04-02,Region Sörmland,30.0,
2020-04-02,Region Uppsala,15.0,
2020-04-02,Region Värmland,0.0,
2020-04-02,Region Västerbotten,5.0,
2020-04-02,Region Västernorrland,4.0,
2020-04-02,Region Västmanland,12.0,
2020-04-02,Region Örebro län,9.0,
2020-04-02,Region Östergötland,23.0,
2020-04-02,Västra Götalandsregionen,32.0,
2020-04-03,Region Blekinge,2.0,
2020-04-03,Region Dalarna,6.0,
2020-04-03,Region Gotland,1.0,
2020-04-03,Region Gävleborg,11.0,
2020-04-03,Region Halland,7.0,
2020-04-03,Region Jämtland Härjedalen,2.0,
2020-04-03,Region Jönköpings län,12.0,
2020-04-03,Region Kalmar län,4.0,
2020-04-03,Region Kronoberg,0.0,
2020-04-03,Region Norrbotten,5.0,
2020-04-03,Region Skåne,10.0,
2020-04-03,Region Stockholm,151.0,
2020-04-03,Region Sörmland,27.0,
2020-04-03,Region Uppsala,17.0,
2020-04-03,Region Värmland,1.0,
2020-04-03,Region Västerbotten,6.0,
2020-04-03,Region Västernorrland,3.0,
2020-04-03,Region Västmanland,11.0,
2020-04-03,Region Örebro län,8.0,
2020-04-03,Region Östergötland,22.0,
2020-04-03,Västra Götalandsregionen,35.0,
2020-04-04,Region Blekinge,,3.0
2020-04-04,Region Dalarna,,7.0
2020-04-04,Region Gotland,,0.0
2020-04-04,Region Gävleborg,,9.0
2020-04-04,Region Halland,,6.0
2020-04-04,Region Jämtland Härjedalen,,3.0
2020-04-04,Region Jönköpings län,,12.0
2020-04-04,Region Kalmar län,,2.0
2020-04-04,Region Kronoberg,,0.0
2020-04-04,Region Norrbotten,,6.0
2020-04-04,Region Skåne,,12.0
2020-04-04,Region Stockholm,,191.0
2020-04-04,Region Sörmland,,37.0
2020-04-04,Region Uppsala,,14.0
2020-04-04,Region Värmland,,0.0
2020-04-04,Region Västerbotten,,3.0
2020-04-04,Region Västernorrland,,3.0
2020-04-04,Region Västmanland,,13.0
2020-04-04,Region Örebro län,,9.0
2020-04-04,Region Östergötland,,22.0
2020-04-04,Västra Götalandsregionen,,44.0
2020-04-05,Region Blekinge,,2.0
2020-04-05,Region Dalarna,,6.0
2020-04-05,Region Gotland,,3.0
2020-04-05,Region Gävleborg,,10.0
2020-04-05,Region Halland,,9.0
2020-04-05,Region Jämtland Härjedalen,,3.0
2020-04-05,Region Jönköpings län,,13.0
2020-04-05,Region Kalmar län,,4.0
2020-04-05,Region Kronoberg,,0.0
2020-04-05,Region Norrbotten,,5.0
2020-04-05,Region Skåne,,13.0
2020-04-05,Region Stockholm,,205.0
2020-04-05,Region Sörmland,,33.0
2020-04-05,Region Uppsala,,19.0
2020-04-05,Region Värmland,,0.0
2020-04-05,Region Västerbotten,,4.0
2020-04-05,Region Västernorrland,,3.0
2020-04-05,Region Västmanland,,11.0
2020-04-05,Region Örebro län,,10.0
2020-04-05,Region Östergötland,,27.0
2020-04-05,Västra Götalandsregionen,,45.0
2020-04-06,Region Blekinge,,2.0
2020-04-06,Region Dalarna,,4.0
2020-04-06,Region Gotland,,3.0
2020-04-06,Region Gävleborg,,12.0
2020-04-06,Region Halland,,8.0
2020-04-06,Region Jämtland Härjedalen,,2.0
2020-04-06,Region Jönköpings län,,14.0
2020-04-06,Region Kalmar län,,4.0
2020-04-06,Region Kronoberg,,0.0
2020-04-06,Region Norrbotten,,5.0
2020-04-06,Region Skåne,,13.0
2020-04-06,Region Stockholm,,216.0
2020-04-06,Region Sörmland,,35.0
2020-04-06,Region Uppsala,,20.0
2020-04-06,Region Värmland,,1.0
2020-04-06,Region Västerbotten,,6.0
2020-04-06,Region Västernorrland,,3.0
2020-04-06,Region Västmanland,,9.0
2020-04-06,Region Örebro län,,8.0
2020-04-06,Region Östergötland,,24.0
2020-04-06,Västra Götalandsregionen,,50.0
